Summary of the properties of the SDSS/DR16 quasars included in the classification. 
We list: 
1. the quasar name in the SDSS convention
2. the right ascension (deg.)
3. the declination (deg.) 
4. the quasar redshift from the SDSS pipeline 
5. the S/N measured at 1150A in the quasar rest-frame
6. a flag indicating if the quasar is a ``Science Primary" observation (Y or N)
7. a flag indicating if the quasar is included in the training set (Y or N)
8. a flag describing the outcome of the classification (1: quasar with LLS; 2: quasar without LLS; 4: non quasar)
9. the measured redshift of the LLS. 

--
1                     2         3          4      5   6 7 8 9
--
spec-10227-58224-0053 143.83343 32.3545430 3.527  9.6 Y Y 1 3.518
spec-10228-58223-0374 145.21736 32.1541970 3.757  4.1 Y Y 2 0.000
spec-10228-58223-0474 144.60158 33.1317990 3.724  2.1 Y Y 1 3.550
spec-10228-58223-0625 144.98375 34.2290730 3.598  8.6 Y Y 1 3.356
spec-10229-58441-0026 146.63169 34.8369130 3.595  5.8 Y Y 1 3.398
spec-10230-58224-0037 149.91288 34.4321560 3.915  3.7 Y Y 1 3.817
spec-10230-58224-0136 148.93735 33.8054520 3.501  5.5 Y Y 2 0.000
spec-10230-58224-0871 149.16238 35.5746320 3.739  5.2 Y Y 2 0.000
spec-10231-58171-0090 154.17806 32.5921660 3.775  4.8 Y Y 2 0.000
spec-10232-58223-0252 150.95398 32.9102570 3.765  3.1 Y Y 1 3.695
spec-10232-58223-0524 149.71022 34.3001020 3.536  9.4 Y Y 2 0.000
spec-10233-58130-0125 126.75159 32.1938940 3.637  6.0 N Y 2 0.000
spec-10234-58153-0067 129.88206 32.7998070 3.807  2.2 N Y 1 3.579
spec-10234-58153-0191 128.88394 32.7997600 3.553 17.6 Y Y 2 0.000
spec-10234-58153-0221 128.84096 32.7289900 3.610 12.8 Y Y 2 0.000
spec-10234-58153-0293 128.35129 32.3137300 3.924  1.4 N Y 1 3.684
spec-10234-58153-0351 127.87307 32.8432850 3.636  1.4 N Y 1 3.603
spec-10234-58153-0888 129.40306 33.4692770 3.808  1.6 N Y 1 3.798
spec-10235-58127-0783 127.42166 35.3771420 3.708 20.4 N Y 1 3.307
spec-10237-58154-0194 130.46153 34.4389150 3.816  2.1 N Y 2 0.000
spec-10237-58154-0900 131.07504 35.4356440 3.765  6.6 Y Y 2 0.000
spec-10238-58155-0034 135.45904 32.8337120 3.532 12.9 Y Y 2 0.000
spec-10238-58155-0810 134.59088 33.4187520 3.909  2.5 Y Y 1 3.811
spec-10238-58155-0830 134.58665 33.9123110 3.568  8.3 Y Y 2 0.000
spec-10239-58142-0668 132.71012 36.1127310 3.542  9.6 N Y 1 3.485
spec-10240-58158-0908 137.88956 34.2952860 3.627  3.6 Y Y 2 0.000
spec-10240-58158-0991 138.66224 33.6314960 3.904  2.8 N Y 2 0.000
spec-10241-58157-0718 135.93245 36.0808320 3.826 10.3 Y Y 2 0.000
spec-10242-58161-0565 138.66224 33.6314960 3.904  3.0 N Y 1 3.850
spec-10242-58161-0803 140.35469 33.5937370 3.902  4.4 N Y 1 3.623
spec-10242-58161-0924 141.06824 33.8829240 3.510  9.6 Y Y 2 0.000
spec-10243-58159-0160 140.02855 35.1954630 3.515 10.6 Y Y 1 3.543
spec-10243-58159-0446 138.12238 34.7464000 3.732  3.0 Y Y 1 3.572
spec-10243-58159-0817 139.67864 35.4361210 3.838  4.0 N Y 2 0.000
spec-10244-58225-0596 141.14577 35.8205110 3.635 14.8 Y Y 1 3.423
spec-10244-58225-0951 143.32030 36.0912590 3.736  3.9 Y Y 2 0.000
spec-10245-58161-0060 183.13425 34.5846580 3.537  3.3 Y Y 2 0.000
spec-10245-58161-0313 181.57379 34.8636870 3.815  5.9 Y Y 1 3.775
spec-10245-58161-0865 182.83916 35.5782210 3.612  4.3 Y Y 2 0.000
spec-10246-58171-0386 184.51593 33.8549930 3.917  2.0 N Y 1 3.921
spec-10246-58171-0868 185.35731 35.2238390 3.984  5.0 N Y 1 3.698
spec-10246-58171-0876 185.42073 35.0396660 3.588  3.1 N Y 1 3.531
spec-10246-58171-0886 185.50967 34.6568650 3.894  4.5 N Y 1 3.861
spec-10247-58162-0724 187.35766 35.0992960 3.837  2.6 N Y 1 3.890
spec-10247-58162-0984 189.05768 35.1981780 3.607  2.7 N Y 2 0.000
spec-10248-58220-0562 189.70887 35.5932310 3.672  6.0 Y Y 1 3.454
